
**********************************************
Contact: Natoms = 1.00000000000e+04, as = 1.000000e+02 * a0, G = 1.085900e+03, G * par = 2.171801e+03
Regular DDI: add = 6.700000e+01 * a0, GD = 1.736905e+02, GD * par = 3.473811e+02, edd = 6.700000e-01
     Dipolar cutoff Scut = 8.416910e+00,

QF = 1: h2 = 1.792281e+03,         q5 = 1.707112e+00

Trap parameters:
GAMMA = 1.000000e+00, NU = 1.000000e+00, LAMBDA = 4.361370e-02
Space discretization: NX = 128, NY = 128, NZ = 128
                      DX = 1.3151422150218750e-01, DY = 1.3151422150218750e-01, DZ = 2.2918125546406252e+00, mx = 1.00e+01, my = 1.00e+01, mz = 1.00e+01
      Unit of length: aho = 6.123800e-07 m

Time discretization: NITER = 1000000 (NSNAP = 1000000)
                     DT = 3.459198e-03, mt = 5.00e+00

file ./imag3d-finalpsi.bin
MUREL = 1.000000e-10, MUEND=1.000000e+03

-----------------------------------------------------------------------------------------------
Snap      mu           Kin             Pot            Contact            DDI            QF
-----------------------------------------------------------------------------------------------
35        2.0460624779360477e+00 3.5423278802241503e-01 9.4700121898121636e-01 1.9598196013426881e+00 -1.2149911304102718e+00 7.7743911413942726e-02
36        2.0460681171459827e+00 3.5426021383318262e-01 9.4696740798466184e-01 1.9598552904002828e+00 -1.2150147950721444e+00 7.7744804835892925e-02
37        2.0460738750830618e+00 3.5428786935197465e-01 9.4693322564247728e-01 1.9598917587217397e+00 -1.2150389786331297e+00 7.7745742313339306e-02
38        2.0460797547368901e+00 3.5431574291457035e-01 9.4689867848681986e-01 1.9599290309333217e+00 -1.2150636975978220e+00 7.7746726389223822e-02
39        2.0460857590548205e+00 3.5434382283859811e-01 9.4686377312056946e-01 1.9599671313760110e+00 -1.2150889682803583e+00 7.7747759586205667e-02
40        2.0460918909379564e+00 3.5437209743133102e-01 9.4682851621612218e-01 1.9600060840736471e+00 -1.2151148067831441e+00 7.7748844403692965e-02
41        2.0460981532373239e+00 3.5440055499732648e-01 9.4679291451414815e-01 1.9600459127019929e+00 -1.2151412289761436e+00 7.7749983314940763e-02
42        2.0461045487502547e+00 3.5442918384590161e-01 9.4675697482240284e-01 1.9600866405588695e+00 -1.2151682504769195e+00 7.7751178764224202e-02
43        2.0461110802167313e+00 3.5445797229839854e-01 9.4672070401441843e-01 1.9601282905351267e+00 -1.2151958866312125e+00 7.7752433164078413e-02
44        2.0461177503160770e+00 3.5448690869529653e-01 9.4668410902828626e-01 1.9601708850868087e+00 -1.2152241524943146e+00 7.7753748892620378e-02
45        2.0461245616636283e+00 3.5451598140310053e-01 9.4664719686537635e-01 1.9602144462082316e+00 -1.2152530628130800e+00 7.7755128290945746e-02
46        2.0461315168075909e+00 3.5454517882106046e-01 9.4660997458901575e-01 1.9602589954061680e+00 -1.2152826320086536e+00 7.7756573660606745e-02
47        2.0461386182260743e+00 3.5457448938767017e-01 9.4657244932322515e-01 1.9603045536751191e+00 -1.2153128741599402e+00 7.7758087261172476e-02
48        2.0461458683242553e+00 3.5460390158697636e-01 9.4653462825136991e-01 1.9603511414736596e+00 -1.2153438029877504e+00 7.7759671307872841e-02
49        2.0461532694316054e+00 3.5463340395468163e-01 9.4649651861484829e-01 1.9603987787017925e+00 -1.2153754318397167e+00 7.7761327969322475e-02
50        2.0461608237993918e+00 3.5466298508404737e-01 9.4645812771174542e-01 1.9604474846794551e+00 -1.2154077736758562e+00 7.7763059365331164e-02
51        2.0461685335982054e+00 3.5469263363160120e-01 9.4641946289548018e-01 1.9604972781260401e+00 -1.2154408410549162e+00 7.7764867564794116e-02
52        2.0461764009156336e+00 3.5472233832264294e-01 9.4638053157342539e-01 1.9605481771408750e+00 -1.2154746461213097e+00 7.7766754583662695e-02
53        2.0461844277540906e+00 3.5475208795656238e-01 9.4634134120553526e-01 1.9606001991847497e+00 -1.2155092005927570e+00 7.7768722382991332e-02
54        2.0461926160288035e+00 3.5478187141198642e-01 9.4630189930296416e-01 1.9606533610624510e+00 -1.2155445157485985e+00 7.7770772867066990e-02
55        2.0462009675657962e+00 3.5481167765173610e-01 9.4626221342664729e-01 1.9607076789060631e+00 -1.2155806024186504e+00 7.7772907881602266e-02
56        2.0462094841000926e+00 3.5484149572761908e-01 9.4622229118590340e-01 1.9607631681592370e+00 -1.2156174709726668e+00 7.7775129212003691e-02
57        2.0462181672739632e+00 3.5487131478507444e-01 9.4618214023697977e-01 1.9608198435622723e+00 -1.2156551313103634e+00 7.7777438581704439e-02
58        2.0462270186353071e+00 3.5490112406766156e-01 9.4614176828165975e-01 1.9608777191378979e+00 -1.2156935928519119e+00 7.7779837650559264e-02
59        2.0462360396360624e+00 3.5493091292141826e-01 9.4610118306577062e-01 1.9609368081778096e+00 -1.2157328645289363e+00 7.7782328013296154e-02
60        2.0462452316307607e+00 3.5496067079908616e-01 9.4606039237775907e-01 1.9609971232298538e+00 -1.2157729547759379e+00 7.7784911198026899e-02
61        2.0462545958751028e+00 3.5499038726423088e-01 9.4601940404721574e-01 1.9610586760857709e+00 -1.2158138715221147e+00 7.7787588664803689e-02
62        2.0462641335246143e+00 3.5502005199523967e-01 9.4597822594337533e-01 1.9611214777695036e+00 -1.2158556221835042e+00 7.7790361804227298e-02
63        2.0462738456334044e+00 3.5504965478924871e-01 9.4593686597367033e-01 1.9611855385260228e+00 -1.2158982136555372e+00 7.7793231936099994e-02
64        2.0462837331528796e+00 3.5507918556596113e-01 9.4589533208221599e-01 1.9612508678105232e+00 -1.2159416523058206e+00 7.7796200308118915e-02
65        2.0462937969306036e+00 3.5510863437140577e-01 9.4585363224828001e-01 1.9613174742780919e+00 -1.2159859439671736e+00 7.7799268094611670e-02
66        2.0463040377091142e+00 3.5513799138161417e-01 9.4581177448481879e-01 1.9613853657736275e+00 -1.2160310939309464e+00 7.7802436395309302e-02
67        2.0463144561248465e+00 3.5516724690624940e-01 9.4576976683691416e-01 1.9614545493222015e+00 -1.2160771069405183e+00 7.7805706234157737e-02
68        2.0463250527070378e+00 3.5519639139216891e-01 9.4572761738027422e-01 1.9615250311195707e+00 -1.2161239871849758e+00 7.7809078558164116e-02
69        2.0463358278766601e+00 3.5522541542694247e-01 9.4568533421967615e-01 1.9615968165230220e+00 -1.2161717382929804e+00 7.7812554236281681e-02
70        2.0463467819453860e+00 3.5525430974232308e-01 9.4564292548741746e-01 1.9616699100423816e+00 -1.2162203633267363e+00 7.7816134058329198e-02
71        2.0463579151145836e+00 3.5528306521767772e-01 9.4560039934178242e-01 1.9617443153312879e+00 -1.2162698647761643e+00 7.7819818733951537e-02
72        2.0463692274743437e+00 3.5531167288337845e-01 9.4555776396548674e-01 1.9618200351786574e+00 -1.2163202445531789e+00 7.7823608891616838e-02
73        2.0463807190024093e+00 3.5534012392413922e-01 9.4551502756406425e-01 1.9618970715002124e+00 -1.2163715039860068e+00 7.7827505077653208e-02
74        2.0463923895633060e+00 3.5536840968233996e-01 9.4547219836435525e-01 1.9619754253304069e+00 -1.2164236438137956e+00 7.7831507755334747e-02
75        2.0464042389073454e+00 3.5539652166128305e-01 9.4542928461289644e-01 1.9620550968143560e+00 -1.2164766641811904e+00 7.7835617304007912e-02
76        2.0464162666696826e+00 3.5542445152841956e-01 9.4538629457433898e-01 1.9621360852000336e+00 -1.2165305646331097e+00 7.7839834018269383e-02
77        2.0464284723693984e+00 3.5545219111852355e-01 9.4534323652985797e-01 1.9622183888306841e+00 -1.2165853441096672e+00 7.7844158107197248e-02
78        2.0464408554086071e+00 3.5547973243682102e-01 9.4530011877557285e-01 1.9623020051374296e+00 -1.2166410009412161e+00 7.7848589693636949e-02
79        2.0464534150715550e+00 3.5550706766204809e-01 9.4525694962091511e-01 1.9623869306321355e+00 -1.2166975328435439e+00 7.7853128813546724e-02
80        2.0464661505237722e+00 3.5553418914946505e-01 9.4521373738706638e-01 1.9624731609005717e+00 -1.2167549369133310e+00 7.7857775415410641e-02
81        2.0464790608112540e+00 3.5556108943379383e-01 9.4517049040530465e-01 1.9625606905958339e+00 -1.2168132096236783e+00 7.7862529359714175e-02
82        2.0464921448596241e+00 3.5558776123206814e-01 9.4512721701542624e-01 1.9626495134321342e+00 -1.2168723468200044e+00 7.7867390418495400e-02
83        2.0465054014733917e+00 3.5561419744641670e-01 9.4508392556411258e-01 1.9627396221789242e+00 -1.2169323437160617e+00 7.7872358274970757e-02
84        2.0465188293352301e+00 3.5564039116674667e-01 9.4504062440331082e-01 1.9628310086554752e+00 -1.2169931948903026e+00 7.7877432523239365e-02
85        2.0465324270053000e+00 3.5566633567332517e-01 9.4499732188862395e-01 1.9629236637258911e+00 -1.2170548942825403e+00 7.7882612668073947e-02
86        2.0465461929205562e+00 3.5569202443925824e-01 9.4495402637764692e-01 1.9630175772945224e+00 -1.2171174351908713e+00 7.7887898124792410e-02
87        2.0465601253942731e+00 3.5571745113284048e-01 9.4491074622839166e-01 1.9631127383020959e+00 -1.2171808102690553e+00 7.7893288219226253e-02
88        2.0465742226154489e+00 3.5574260961979115e-01 9.4486748979761714e-01 1.9632091347222242e+00 -1.2172450115241840e+00 7.7898782187776336e-02
89        2.0465884826483962e+00 3.5576749396535362e-01 9.4482426543920761e-01 1.9633067535586599e+00 -1.2173100303148248e+00 7.7904379177567332e-02
90        2.0466029034323423e+00 3.5579209843623161e-01 9.4478108150252993e-01 1.9634055808431239e+00 -1.2173758573495430e+00 7.7910078246697281e-02
91        2.0466174827811936e+00 3.5581641750240772e-01 9.4473794633083108e-01 1.9635056016339592e+00 -1.2174424826860044e+00 7.7915878364589436e-02
92        2.0466322183832073e+00 3.5584044583876800e-01 9.4469486825954785e-01 1.9636068000153057e+00 -1.2175098957304140e+00 7.7921778412440870e-02
93        2.0466471078010309e+00 3.5586417832658757e-01 9.4465185561472387e-01 1.9637091590973479e+00 -1.2175780852376283e+00 7.7927777183778704e-02
94        2.0466621484715191e+00 3.5588761005481567e-01 9.4460891671133052e-01 1.9638126610170830e+00 -1.2176470393117100e+00 7.7933873385112484e-02
95        2.0466773377059231e+00 3.5591073632120201e-01 9.4456605985166797e-01 1.9639172869401678e+00 -1.2177167454071147e+00 7.7940065636694228e-02
96        2.0466926726899999e+00 3.5593355263322163e-01 9.4452329332368312e-01 1.9640230170634996e+00 -1.2177871903304047e+00 7.7946352473377611e-02
97        2.0467081504843683e+00 3.5595605470881775e-01 9.4448062539939004e-01 1.9641298306188175e+00 -1.2178583602426571e+00 7.7952732345581741e-02
98        2.0467237680248309e+00 3.5597823847693211e-01 9.4443806433318211e-01 1.9642377058771405e+00 -1.2179302406624239e+00 7.7959203620352399e-02
99        2.0467395221229965e+00 3.5600010007785748e-01 9.4439561836024366e-01 1.9643466201542623e+00 -1.2180028164693673e+00 7.7965764582525132e-02
100       2.0467554094668436e+00 3.5602163586336888e-01 9.4435329569489623e-01 1.9644565498171280e+00 -1.2180760719085495e+00 7.7972413435984766e-02
101       2.0467714266215307e+00 3.5604284239664519e-01 9.4431110452897105e-01 1.9645674702912939e+00 -1.2181499905953794e+00 7.7979148305017967e-02
102       2.0467875700302942e+00 3.5606371645199952e-01 9.4426905303019115e-01 1.9646793560693316e+00 -1.2182245555212281e+00 7.7985967235761178e-02
