
**********************************************
Contact: Natoms = 1.00000000000e+04, as = 1.000000e+02 * a0, G = 1.085900e+03, G * par = 2.171801e+03
Regular DDI: add = 6.700000e+01 * a0, GD = 1.736905e+02, GD * par = 3.473811e+02, edd = 6.700000e-01
     Dipolar cutoff Scut = 8.416910e+00,

QF = 1: h2 = 1.792281e+03,         q5 = 1.707112e+00

Trap parameters:
GAMMA = 1.000000e+00, NU = 1.000000e+00, LAMBDA = 4.361370e-02
Space discretization: NX = 128, NY = 128, NZ = 128
                      DX = 1.3151422150218750e-01, DY = 1.3151422150218750e-01, DZ = 2.2918125546406252e+00, mx = 1.00e+01, my = 1.00e+01, mz = 1.00e+01
      Unit of length: aho = 6.123800e-07 m

Time discretization: NITER = 1000000 (NSNAP = 1000000)
                     DT = 3.459198e-03, mt = 5.00e+00

file ./imag3d-finalpsi.bin
MUREL = 1.000000e-10, MUEND=1.000000e+03

-----------------------------------------------------------------------------------------------
Snap      mu           Kin             Pot            Contact            DDI            QF
-----------------------------------------------------------------------------------------------
2674      2.0454660222844527e+00 3.5389149956442112e-01 9.4816780306366677e-01 1.9556248383594859e+00 -1.2122181187031207e+00 7.7485697248058760e-02
2675      2.0454586565141768e+00 3.5389524565791103e-01 9.4817411602765622e-01 1.9555724109080459e+00 -1.2121831160794363e+00 7.7482045630000315e-02
2676      2.0454515691431818e+00 3.5389922006611024e-01 9.4817983362569480e-01 1.9555219200091474e+00 -1.2121494045577710e+00 7.7478511832709498e-02
2677      2.0454447635686002e+00 3.5390341924543156e-01 9.4818495475127496e-01 1.9554733899130288e+00 -1.2121170003411355e+00 7.7475097472891538e-02
2678      2.0454382431169038e+00 3.5390783963108302e-01 9.4818947841278389e-01 1.9554268443762710e+00 -1.2120859193032343e+00 7.7471804135299693e-02
2679      2.0454320110425988e+00 3.5391247763840838e-01 9.4819340373370009e-01 1.9553823066533138e+00 -1.2120561769828238e+00 7.7468633372383786e-02
2680      2.0454260705269127e+00 3.5391732966422118e-01 9.4819672995273507e-01 1.9553397994881172e+00 -1.2120277885781610e+00 7.7465586703952746e-02
2681      2.0454204246765624e+00 3.5392239208813941e-01 9.4819945642396397e-01 1.9552993451059086e+00 -1.2120007689414498e+00 7.7462665616852069e-02
2682      2.0454150765224388e+00 3.5392766127393122e-01 9.4820158261695098e-01 1.9552609652049766e+00 -1.2119751325734200e+00 7.7459871564655003e-02
2683      2.0454100290183761e+00 3.5393313357085321e-01 9.4820310811682673e-01 1.9552246809485763e+00 -1.2119508936178802e+00 7.7457205967366313e-02
2684      2.0454052850398607e+00 3.5393880531500943e-01 9.4820403262436204e-01 1.9551905129568428e+00 -1.2119280658563536e+00 7.7454670211139776e-02
2685      2.0454008473828020e+00 3.5394467283070730e-01 9.4820435595602526e-01 1.9551584812988028e+00 -1.2119066627027333e+00 7.7452265648005128e-02
2686      2.0453967187622530e+00 3.5395073243183262e-01 9.4820407804398577e-01 1.9551286054843799e+00 -1.2118866971979454e+00 7.7449993595606254e-02
2687      2.0453929018111885e+00 3.5395698042323820e-01 9.4820319893614002e-01 1.9551009044564933e+00 -1.2118681820046833e+00 7.7447855336950353e-02
2688      2.0453893990791818e+00 3.5396341310214346e-01 9.4820171879606052e-01 1.9550753965830281e+00 -1.2118511294020502e+00 7.7445852120161765e-02
2689      2.0453862130312501e+00 3.5397002675955486e-01 9.4819963790301776e-01 1.9550520996490108e+00 -1.2118355512803329e+00 7.7443985158247922e-02
2690      2.0453833460464983e+00 3.5397681768170675e-01 9.4819695665183845e-01 1.9550310308486090e+00 -1.2118214591356558e+00 7.7442255628867224e-02
2691      2.0453808004169156e+00 3.5398378215152915e-01 9.4819367555289114e-01 1.9550122067772027e+00 -1.2118088640647073e+00 7.7440664674105000e-02
2692      2.0453785783460803e+00 3.5399091645012665e-01 9.4818979523195046e-01 1.9549956434233777e+00 -1.2117977767593744e+00 7.7439213400250409e-02
2693      2.0453766819478489e+00 3.5399821685830396e-01 9.4818531643004766e-01 1.9549813561609239e+00 -1.2117882075014264e+00 7.7437902877577583e-02
2694      2.0453751132451434e+00 3.5400567965810587e-01 9.4818024000338752e-01 1.9549693597407511e+00 -1.2117801661571010e+00 7.7436734140128194e-02
2695      2.0453738741686087e+00 3.5401330113439294e-01 9.4817456692312152e-01 1.9549596682827852e+00 -1.2117736621716912e+00 7.7435708185491531e-02
2696      2.0453729665553282e+00 3.5402107757646062e-01 9.4816829827517979e-01 1.9549522952677589e+00 -1.2117687045640710e+00 7.7434825974585494e-02
2697      2.0453723921474882e+00 3.5402900527967179e-01 9.4816143526006946e-01 1.9549472535289316e+00 -1.2117653019211847e+00 7.7434088431430750e-02
2698      2.0453721525911024e+00 3.5403708054714955e-01 9.4815397919263933e-01 1.9549445552437645e+00 -1.2117634623924511e+00 7.7433496442923674e-02
2699      2.0453722494345956e+00 3.5404529969149789e-01 9.4814593150178395e-01 1.9549442119254468e+00 -1.2117631936841331e+00 7.7433050858600139e-02
2700      2.0453726841275590e+00 3.5405365903656921e-01 9.4813729373024624e-01 1.9549462344143944e+00 -1.2117645030536508e+00 7.7432752490393289e-02
2701      2.0453734580193292e+00 3.5406215491926679e-01 9.4812806753427326e-01 1.9549506328695803e+00 -1.2117673973037910e+00 7.7432602112380816e-02
2702      2.0453745723576158e+00 3.5407078369139644e-01 9.4811825468328781e-01 1.9549574167597983e+00 -1.2117718827768671e+00 7.7432600460519391e-02
2703      2.0453760282871807e+00 3.5407954172157130e-01 9.4810785705960632e-01 1.9549665948548389e+00 -1.2117779653488359e+00 7.7432748232371729e-02
2704      2.0453778268483735e+00 3.5408842539714097e-01 9.4809687665802045e-01 1.9549781752164757e+00 -1.2117856504232636e+00 7.7433046086811147e-02
2705      2.0453799689758241e+00 3.5409743112619380e-01 9.4808531558548004e-01 1.9549921651894588e+00 -1.2117949429253085e+00 7.7433494643719472e-02
2706      2.0453824554969469e+00 3.5410655533958041e-01 9.4807317606063846e-01 1.9550085713922745e+00 -1.2118058472955466e+00 7.7434094483659066e-02
2707      2.0453852871305838e+00 3.5411579449301483e-01 9.4806046041346459e-01 1.9550273997079120e+00 -1.2118183674838074e+00 7.7434846147532377e-02
2708      2.0453884644855886e+00 3.5412514506919152e-01 9.4804717108481240e-01 1.9550486552744581e+00 -1.2118325069428730e+00 7.7435750136217868e-02
2709      2.0453919880593645e+00 3.5413460357997245e-01 9.4803331062593987e-01 1.9550723424756087e+00 -1.2118482686221563e+00 7.7436806910184938e-02
2710      2.0453958582364855e+00 3.5414416656860870e-01 9.4801888169804605e-01 1.9550984649311269e+00 -1.2118656549612963e+00 7.7438016889085970e-02
2711      2.0454000752872608e+00 3.5415383061201183e-01 9.4800388707176342e-01 1.9551270254871993e+00 -1.2118846678837139e+00 7.7439380451324827e-02
2712      2.0454046393662981e+00 3.5416359232306793e-01 9.4798832962664803e-01 1.9551580262067061e+00 -1.2119053087901239e+00 7.7440897933599900e-02
2713      2.0454095505110819e+00 3.5417344835299036e-01 9.4797221235062445e-01 1.9551914683594871e+00 -1.2119275785520200e+00 7.7442569630418956e-02
2714      2.0454148086406581e+00 3.5418339539372273e-01 9.4795553833946355e-01 1.9552273524125794e+00 -1.2119514775051077e+00 7.7444395793592691e-02
2715      2.0454204135541203e+00 3.5419343018035515e-01 9.4793831079615443e-01 1.9552656780203643e+00 -1.2119770054427537e+00 7.7446376631692418e-02
2716      2.0454263649293107e+00 3.5420354949360761e-01 9.4792053303034918e-01 1.9553064440147996e+00 -1.2120041616094459e+00 7.7448512309487835e-02
2717      2.0454326623214500e+00 3.5421375016231177e-01 9.4790220845773221e-01 1.9553496483956221e+00 -1.2120329446942164e+00 7.7450802947349059e-02
2718      2.0454393051618140e+00 3.5422402906593820e-01 9.4788334059937773e-01 1.9553952883206691e+00 -1.2120633528241711e+00 7.7453248620626969e-02
2719      2.0454462927564423e+00 3.5423438313714439e-01 9.4786393308111316e-01 1.9554433600962144e+00 -1.2120953835580297e+00 7.7455849358999435e-02
2720      2.0454536242848320e+00 3.5424480936432007e-01 9.4784398963282024e-01 1.9554938591674000e+00 -1.2121290338797086e+00 7.7458605145792295e-02
2721      2.0454612987987595e+00 3.5425530479417761e-01 9.4782351408776511e-01 1.9555467801088884e+00 -1.2121643001920717e+00 7.7461515917270810e-02
2722      2.0454693152210743e+00 3.5426586653431474e-01 9.4780251038187602e-01 1.9556021166155910e+00 -1.2122011783107074e+00 7.7464581561906706e-02
2723      2.0454776723445804e+00 3.5427649175580533e-01 9.4778098255301257e-01 1.9556598614936775e+00 -1.2122396634579151e+00 7.7467801919616788e-02
2724      2.0454863688309448e+00 3.5428717769576323e-01 9.4775893474022366e-01 1.9557200066517562e+00 -1.2122797502567979e+00 7.7471176780977924e-02
2725      2.0454954032096642e+00 3.5429792165990120e-01 9.4773637118295606e-01 1.9557825430923359e+00 -1.2123214327255292e+00 7.7474705886416195e-02
2726      2.0455047738772003e+00 3.5430872102507743e-01 9.4771329622032419e-01 1.9558474609037135e+00 -1.2123647042719148e+00 7.7478388925381572e-02
2727      2.0455144790959281e+00 3.5431957324179630e-01 9.4768971429022686e-01 1.9559147492519555e+00 -1.2124095576880509e+00 7.7482225535493152e-02
2728      2.0455245169935372e+00 3.5433047583669491e-01 9.4766562992860104e-01 1.9559843963736261e+00 -1.2124559851453844e+00 7.7486215301675543e-02
2729      2.0455348855621347e+00 3.5434142641496708e-01 9.4764104776851876e-01 1.9560563895685945e+00 -1.2125039781899456e+00 7.7490357755275227e-02
2730      2.0455455826577089e+00 3.5435242266275352e-01 9.4761597253936780e-01 1.9561307151935496e+00 -1.2125535277379622e+00 7.7494652373168452e-02
2731      2.0455566059995967e+00 3.5436346234946153e-01 9.4759040906596625e-01 1.9562073586559705e+00 -1.2126046240718014e+00 7.7499098576858647e-02
2732      2.0455679531699449e+00 3.5437454333001484e-01 9.4756436226764873e-01 1.9562863044085415e+00 -1.2126572568362601e+00 7.7503695731565889e-02
2733      2.0455796216135007e+00 3.5438566354704776e-01 9.4753783715738138e-01 1.9563675359443722e+00 -1.2127114150353004e+00 7.7508443145320821e-02
2734      2.0455916086372810e+00 3.5439682103298487e-01 9.4751083884081244e-01 1.9564510357926128e+00 -1.2127670870291287e+00 7.7513340068051162e-02
2735      2.0456039114105038e+00 3.5440801391204652e-01 9.4748337251533121e-01 1.9565367855149374e+00 -1.2128242605318111e+00 7.7518385690680799e-02
2736      2.0456165269645914e+00 3.5441924040216111e-01 9.4745544346909516e-01 1.9566247657026419e+00 -1.2128829226093070e+00 7.7523579144236257e-02
2737      2.0456294521932814e+00 3.5443049881674221e-01 9.4742705708006569e-01 1.9567149559745103e+00 -1.2129430596780368e+00 7.7528919498964829e-02
2738      2.0456426838528721e+00 3.5444178756637235e-01 9.4739821881498421e-01 1.9568073349754431e+00 -1.2130046575039275e+00 7.7534405763472522e-02
2739      2.0456562185626037e+00 3.5445310516034717e-01 9.4736893422835999e-01 1.9569018803759433e+00 -1.2130677012020468e+00 7.7540036883884098e-02
2740      2.0456700528051956e+00 3.5446445020809991e-01 9.4733920896145329e-01 1.9569985688724509e+00 -1.2131321752368085e+00 7.7545811743031198e-02
2741      2.0456841829274457e+00 3.5447582142047457e-01 9.4730904874119992e-01 1.9570973761884862e+00 -1.2131980634227146e+00 7.7551729159669791e-02
2742      2.0456986051410726e+00 3.5448721761086371e-01 9.4727845937917599e-01 1.9571982770767842e+00 -1.2132653489257510e+00 7.7557787887735152e-02
2743      2.0457133155235656e+00 3.5449863769618295e-01 9.4724744677046147e-01 1.9573012453222729e+00 -1.2133340142653515e+00 7.7563986615637126e-02
2744      2.0457283100192800e+00 3.5451008069769568e-01 9.4721601689258872e-01 1.9574062537460553e+00 -1.2134040413170593e+00 7.7570323965600901e-02
2745      2.0457435844406371e+00 3.5452154574167666e-01 9.4718417580439207e-01 1.9575132742103167e+00 -1.2134754113157484e+00 7.7576798493057264e-02
2746      2.0457591344694759e+00 3.5453303205989917e-01 9.4715192964489869e-01 1.9576222776242682e+00 -1.2135481048595904e+00 7.7583408686087693e-02
2747      2.0457749556584863e+00 3.5454453898996463e-01 9.4711928463215278e-01 1.9577332339509725e+00 -1.2136221019146036e+00 7.7590152964926759e-02
2748      2.0457910434328701e+00 3.5455606597543771e-01 9.4708624706206013e-01 1.9578461122152799e+00 -1.2136973818199077e+00 7.7597029681527555e-02
2749      2.0458073930920699e+00 3.5456761256582420e-01 9.4705282330721063e-01 1.9579608805126523e+00 -1.2137739232936173e+00 7.7604037119193184e-02
2750      2.0458239998116472e+00 3.5457917841635511e-01 9.4701901981566505e-01 1.9580775060190785e+00 -1.2138517044394515e+00 7.7611173492278807e-02
2751      2.0458408586453571e+00 3.5459076328760147e-01 9.4698484310976017e-01 1.9581959550019361e+00 -1.2139307027539405e+00 7.7618436945967262e-02
2752      2.0458579645272228e+00 3.5460236704489378e-01 9.4695029978486633e-01 1.9583161928318193e+00 -1.2140108951343567e+00 7.7625825556120076e-02
2753      2.0458753122738917e+00 3.5461398965757601e-01 9.4691539650813983e-01 1.9584381839954221e+00 -1.2140922578872464e+00 7.7633337329210683e-02
2754      2.0458928965869592e+00 3.5462563119806456e-01 9.4688014001726284e-01 1.9585618921092711e+00 -1.2141747667376397e+00 7.7640970202336901e-02
2755      2.0459107120555622e+00 3.5463729184073656e-01 9.4684453711918559e-01 1.9586872799345221e+00 -1.2142583968388818e+00 7.7648722043320448e-02
2756      2.0459287531589698e+00 3.5464897186064098e-01 9.4680859468881962e-01 1.9588143093926018e+00 -1.2143431227830928e+00 7.7656590650892560e-02
2757      2.0459470142693315e+00 3.5466067163202264e-01 9.4677231966772624e-01 1.9589429415817892e+00 -1.2144289186122061e+00 7.7664573754966076e-02
2758      2.0459654896545518e+00 3.5467239162669811e-01 9.4673571906282183e-01 1.9590731367946808e+00 -1.2145157578296488e+00 7.7672669017001886e-02
2759      2.0459841734812239e+00 3.5468413241223501e-01 9.4669879994502515e-01 1.9592048545364877e+00 -1.2146036134125242e+00 7.7680874030459202e-02
2760      2.0460030598176600e+00 3.5469589464999024e-01 9.4666156944790580e-01 1.9593380535441705e+00 -1.2146924578244065e+00 7.7689186321344361e-02
2761      2.0460221426370881e+00 3.5470767909298179e-01 9.4662403476635948e-01 1.9594726918063938e+00 -1.2147822630286471e+00 7.7697603348846955e-02
2762      2.0460414158207940e+00 3.5471948658359448e-01 9.4658620315518061e-01 1.9596087265841728e+00 -1.2148730005021537e+00 7.7706122506068107e-02
2763      2.0460608731614656e+00 3.5473131805115898e-01 9.4654808192771234e-01 1.9597461144323247e+00 -1.2149646412497306e+00 7.7714741120843200e-02
2764      2.0460805083665594e+00 3.5474317450937348e-01 9.4650967845443523e-01 1.9598848112215426e+00 -1.2150571558187919e+00 7.7723456456650936e-02
2765      2.0461003150617247e+00 3.5475505705359084e-01 9.4647100016154606e-01 1.9600247721611750e+00 -1.2151505143145869e+00 7.7732265713615509e-02
2766      2.0461202867943262e+00 3.5476696685798104e-01 9.4643205452955126e-01 1.9601659518225774e+00 -1.2152446864157833e+00 7.7741166029595923e-02
2767      2.0461404170369506e+00 3.5477890517256749e-01 9.4639284909179855e-01 1.9603083041630531e+00 -1.2153396413904685e+00 7.7750154481361716e-02
2768      2.0461606991910566e+00 3.5479087332014980e-01 9.4635339143305264e-01 1.9604517825503194e+00 -1.2154353481124653e+00 7.7759228085853657e-02
2769      2.0461811265905889e+00 3.5480287269311961e-01 9.4631368918802583e-01 1.9605963397874762e+00 -1.2155317750780326e+00 7.7768383801527341e-02
2770      2.0462016925056350e+00 3.5481490475017841e-01 9.4627375003988423e-01 1.9607419281383751e+00 -1.2156288904228025e+00 7.7777618529774911e-02
2771      2.0462223901462124e+00 3.5482697101295479e-01 9.4623358171880201e-01 1.9608884993534685e+00 -1.2157266619390130e+00 7.7786929116424791e-02
2772      2.0462432126658974e+00 3.5483907306255918e-01 9.4619319200042662e-01 1.9610360046959068e+00 -1.2158250570929952e+00 7.7796312353315328e-02
2773      2.0462641531656471e+00 3.5485121253604934e-01 9.4615258870439312e-01 1.9611843949680372e+00 -1.2159240430428326e+00 7.7805764979936701e-02
2774      2.0462852046975399e+00 3.5486339112282939e-01 9.4611177969280924e-01 1.9613336205381031e+00 -1.2160235866562017e+00 7.7815283685139847e-02
2775      2.0463063602685061e+00 3.5487561056101030e-01 9.4607077286870966e-01 1.9614836313671480e+00 -1.2161236545283618e+00 7.7824865108908237e-02
2776      2.0463276128441308e+00 3.5488787263371008e-01 9.4602957617452943e-01 1.9616343770361320e+00 -1.2162242130002408e+00 7.7834505844185498e-02
2777      2.0463489553523866e+00 3.5490017916532796e-01 9.4598819759057429e-01 1.9617858067731044e+00 -1.2163252281766201e+00 7.7844202438759572e-02
2778      2.0463703806873816e+00 3.5491253201779005e-01 9.4594664513343851e-01 1.9619378694804803e+00 -1.2164266659443272e+00 7.7853951397192589e-02
2779      2.0463918817130384e+00 3.5492493308677020e-01 9.4590492685445060e-01 1.9620905137622655e+00 -1.2165284919904480e+00 7.7863749182796607e-02
2780      2.0464134512668641e+00 3.5493738429792904e-01 9.4586305083811539e-01 1.9622436879513590e+00 -1.2166306718205389e+00 7.7873592219649984e-02
2781      2.0464350821635038e+00 3.5494988760312729e-01 9.4582102520051214e-01 1.9623973401366002e+00 -1.2167331707767357e+00 7.7883476894644671e-02
2782      2.0464567671984479e+00 3.5496244497667667e-01 9.4577885808772122e-01 1.9625514181898895e+00 -1.2168359540558398e+00 7.7893399559570378e-02
2783      2.0464784991515805e+00 3.5497505841159432e-01 9.4573655767421327e-01 1.9627058697929751e+00 -1.2169389867272020e+00 7.7903356533216159e-02
2784      2.0465002707906854e+00 3.5498772991590327e-01 9.4569413216126375e-01 1.9628606424640995e+00 -1.2170422337505815e+00 7.7913344103502369e-02
2785      2.0465220748749648e+00 3.5500046150895687e-01 9.4565158977534358e-01 1.9630156835844075e+00 -1.2171456599937434e+00 7.7923358529621886e-02
2786      2.0465439041584590e+00 3.5501325521781596e-01 9.4560893876648744e-01 1.9631709404240552e+00 -1.2172492302498996e+00 7.7933396044202727e-02
2787      2.0465657513933637e+00 3.5502611307367471e-01 9.4556618740666731e-01 1.9633263601680018e+00 -1.2173529092549800e+00 7.7943452855474521e-02
2788      2.0465876093334794e+00 3.5503903710834933e-01 9.4552334398821525e-01 1.9634818899415858e+00 -1.2174566617046707e+00 7.7953525149449324e-02
2789      2.0466094707373013e+00 3.5505202935079966e-01 9.4548041682212025e-01 1.9636374768355624e+00 -1.2175604522711809e+00 7.7963609092100219e-02
2790      2.0466313283713262e+00 3.5506509182374740e-01 9.4543741423643679e-01 1.9637930679310023e+00 -1.2176642456198603e+00 7.7973700831550571e-02
2791      2.0466531750131591e+00 3.5507822654033250e-01 9.4539434457462856e-01 1.9639486103237334e+00 -1.2177680064255352e+00 7.7983796500260494e-02
2792      2.0466750034546224e+00 3.5509143550084105e-01 9.4535121619393092e-01 1.9641040511484786e+00 -1.2178716993886283e+00 7.7993892217216823e-02
2793      2.0466968065047504e+00 3.5510472068948878e-01 9.4530803746368430e-01 1.9642593376026152e+00 -1.2179752892510378e+00 7.8003984090121103e-02
2794      2.0467185769927885e+00 3.5511808407126749e-01 9.4526481676369134e-01 1.9644144169696736e+00 -1.2180787408118436e+00 7.8014068217581278e-02
2795      2.0467403077711825e+00 3.5513152758885241e-01 9.4522156248256606e-01 1.9645692366425793e+00 -1.2181820189428152e+00 7.8024140691304561e-02
2796      2.0467619917183337e+00 3.5514505315953210e-01 9.4517828301604823e-01 1.9647237441464300e+00 -1.2182850886036765e+00 7.8034197598286684e-02
2797      2.0467836217416551e+00 3.5515866267223095e-01 9.4513498676538055e-01 1.9648778871613701e+00 -1.2183879148573267e+00 7.8044235023013775e-02
2798      2.0468051907802125e+00 3.5517235798450997e-01 9.4509168213561101e-01 1.9650316135448886e+00 -1.2184904628847972e+00 7.8054249049659227e-02
2799      2.0468266918076257e+00 3.5518614091965273e-01 9.4504837753392978e-01 1.9651848713542523e+00 -1.2185926980002091e+00 7.8064235764293097e-02
2800      2.0468481178348457e+00 3.5520001326373818e-01 9.4500508136802275e-01 1.9653376088686614e+00 -1.2186945856655766e+00 7.8074191257097345e-02
2801      2.0468694619128649e+00 3.5521397676275018e-01 9.4496180204438507e-01 1.9654897746113211e+00 -1.2187960915055915e+00 7.8084111624590294e-02
2802      2.0468907171355371e+00 3.5522803311968909e-01 9.4491854796665975e-01 1.9656413173715277e+00 -1.2188971813223393e+00 7.8093992971862161e-02
2803      2.0469118766422603e+00 3.5524218399167251e-01 9.4487532753396131e-01 1.9657921862266672e+00 -1.2189978211100407e+00 7.8103831414824895e-02
2804      2.0469329336207580e+00 3.5525643098705356e-01 9.4483214913920077e-01 1.9659423305642607e+00 -1.2190979770697568e+00 7.8113623082474673e-02
2805      2.0469538813098813e+00 3.5527077566250492e-01 9.4478902116745278e-01 1.9660917001041349e+00 -1.2191976156242117e+00 7.8123364119173297e-02
2806      2.0469747130022702e+00 3.5528521952009601e-01 9.4474595199423517e-01 1.9662402449205614e+00 -1.2192967034326228e+00 7.8133050686942582e-02
2807      2.0469954220472011e+00 3.5529976400432978e-01 9.4470294998387572e-01 1.9663879154645816e+00 -1.2193952074055863e+00 7.8142678967779614e-02
2808      2.0470160018533927e+00 3.5531441049916801e-01 9.4466002348784217e-01 1.9665346625865250e+00 -1.2194930947201426e+00 7.8152245165990480e-02
2809      2.0470364458917603e+00 3.5532916032499706e-01 9.4461718084307034e-01 1.9666804375585567e+00 -1.2195903328348638e+00 7.8161745510541072e-02
2810      2.0470567476983046e+00 3.5534401473557542e-01 9.4457443037030375e-01 1.9668251920975846e+00 -1.2196868895051589e+00 7.8171176257431640e-02
2811      2.0470769008769527e+00 3.5535897491491847e-01 9.4453178037244434e-01 1.9669688783882198e+00 -1.2197827327986299e+00 7.8180533692084733e-02
2812      2.0470968991024545e+00 3.5537404197414557e-01 9.4448923913288574e-01 1.9671114491060453e+00 -1.2198778311106222e+00 7.8189814131757213e-02
2813      2.0471167361233045e+00 3.5538921694828468e-01 9.4444681491386773e-01 1.9672528574410806e+00 -1.2199721531799284e+00 7.8199013927967645e-02
2814      2.0471364057646571e+00 3.5540450079300528e-01 9.4440451595482056e-01 1.9673930571214227e+00 -1.2200656681045916e+00 7.8208129468941789e-02
2815      2.0471559019313395e+00 3.5541989438133076e-01 9.4436235047072836e-01 1.9675320024372172e+00 -1.2201583453579372e+00 7.8217157182074282e-02
2816      2.0471752186108381e+00 3.5543539850028211e-01 9.4432032665048682e-01 1.9676696482647673e+00 -1.2202501548046980e+00 7.8226093536405347e-02
2817      2.0471943498763010e+00 3.5545101384747280e-01 9.4427845265526300e-01 1.9678059500908456e+00 -1.2203410667172803e+00 7.8234935045107284e-02
2818      2.0472132898896116e+00 3.5546674102766868e-01 9.4423673661686980e-01 1.9679408640372611e+00 -1.2204310517921877e+00 7.8243678267985076e-02
2819      2.0472320329044655e+00 3.5548258054930310e-01 9.4419518663614055e-01 1.9680743468855708e+00 -1.2205200811665489e+00 7.8252319813982382e-02
2820      2.0472505732694244e+00 3.5549853282095029e-01 9.4415381078131067e-01 1.9682063561019123e+00 -1.2206081264347488e+00 7.8260856343692592e-02
2821      2.0472689054310593e+00 3.5551459814776398e-01 9.4411261708641114e-01 1.9683368498620351e+00 -1.2206951596651510e+00 7.8269284571873002e-02
2822      2.0472870239370109e+00 3.5553077672790007e-01 9.4407161354963776e-01 1.9684657870763298e+00 -1.2207811534168567e+00 7.8277601269955324e-02
2823      2.0473049234391718e+00 3.5554706864890639e-01 9.4403080813179352e-01 1.9685931274150226e+00 -1.2208660807565503e+00 7.8285803268553403e-02
2824      2.0473225986967742e+00 3.5556347388410903e-01 9.4399020875467365e-01 1.9687188313333306e+00 -1.2209499152753394e+00 7.8293887459959632e-02
2825      2.0473400445794607e+00 3.5557999228898185e-01 9.4394982329946520e-01 1.9688428600965591e+00 -1.2210326311055455e+00 7.8301850800628250e-02
2826      2.0473572560704909e+00 3.5559662359753602e-01 9.4390965960522366e-01 1.9689651758052589e+00 -1.2211142029375277e+00 7.8309690313643709e-02
2827      2.0473742282697529e+00 3.5561336741870053e-01 9.4386972546725556e-01 1.9690857414201528e+00 -1.2211946060363561e+00 7.8317403091162599e-02
2828      2.0473909563968187e+00 3.5563022323274296e-01 9.4383002863558607e-01 1.9692045207869566e+00 -1.2212738162584669e+00 7.8324986296833723e-02
2829      2.0474074357940681e+00 3.5564719038770609e-01 9.4379057681341294e-01 1.9693214786610438e+00 -1.2213518100680947e+00 7.8332437168182986e-02
2830      2.0474236619296029e+00 3.5566426809589452e-01 9.4375137765555273e-01 1.9694365807317669e+00 -1.2214285645536109e+00 7.8339753018966077e-02
2831      2.0474396304002886e+00 3.5568145543040197e-01 9.4371243876694078e-01 1.9695497936465756e+00 -1.2215040574436298e+00 7.8346931241479137e-02
2832      2.0474553369346120e+00 3.5569875132170237e-01 9.4367376770107958e-01 1.9696610850346983e+00 -1.2215782671228683e+00 7.8353969308823684e-02
2833      2.0474707773956000e+00 3.5571615455431521e-01 9.4363537195855762e-01 1.9697704235305107e+00 -1.2216511726477834e+00 7.8360864777124242e-02
2834      2.0474859477836134e+00 3.5573366376354171e-01 9.4359725898555669e-01 1.9698777787963921e+00 -1.2217227537618771e+00 7.8367615287690581e-02
2835      2.0475008442390719e+00 3.5575127743229418e-01 9.4355943617234217e-01 1.9699831215450903e+00 -1.2217929909106544e+00 7.8374218569120288e-02
2836      2.0475154630451540e+00 3.5576899388802047e-01 9.4352191085181958e-01 1.9700864235615807e+00 -1.2218618652562665e+00 7.8380672439340160e-02
2837      2.0475298006304010e+00 3.5578681129974954e-01 9.4348469029806392e-01 1.9701876577242914e+00 -1.2219293586917037e+00 7.8386974807579904e-02
2838      2.0475438535711810e+00 3.5580472767523957e-01 9.4344778172487365e-01 1.9702867980256320e+00 -1.2219954538545641e+00 7.8393123676272131e-02
2839      2.0475576185941877e+00 3.5582274085826704e-01 9.4341119228434223e-01 1.9703838195919532e+00 -1.2220601341403745e+00 7.8399117142877672e-02
2840      2.0475710925786990e+00 3.5584084852605463e-01 9.4337492906543696e-01 1.9704786987026015e+00 -1.2221233837153942e+00 7.8404953401632643e-02
2841      2.0475842725588085e+00 3.5585904818683656e-01 9.4333899909258345e-01 1.9705714128082366e+00 -1.2221851875288481e+00 7.8410630745205004e-02
2842      2.0475971557255943e+00 3.5587733717760245e-01 9.4330340932429591e-01 1.9706619405483463e+00 -1.2222455313246503e+00 7.8416147566271577e-02
2843      2.0476097394290420e+00 3.5589571266199554e-01 9.4326816665178703e-01 1.9707502617677393e+00 -1.2223044016524798e+00 7.8421502358995546e-02
2844      2.0476220211799290e+00 3.5591417162838634e-01 9.4323327789759004e-01 1.9708363575321270e+00 -1.2223617858781746e+00 7.8426693720410529e-02
2845      2.0476339986516194e+00 3.5593271088815981e-01 9.4319874981425700e-01 1.9709202101427858e+00 -1.2224176721935835e+00 7.8431720351709172e-02
2846      2.0476456696815917e+00 3.5595132707417293e-01 9.4316458908297729e-01 1.9710018031499725e+00 -1.2224720496255312e+00 7.8436581059421653e-02
2847      2.0476570322729479e+00 3.5597001663943256e-01 9.4313080231229884e-01 1.9710811213653887e+00 -1.2225249080441722e+00 7.8441274756492527e-02
2848      2.0476680845956907e+00 3.5598877585599881e-01 9.4309739603680431e-01 1.9711581508734075e+00 -1.2225762381705201e+00 7.8445800463247686e-02
2849      2.0476788249878997e+00 3.5600760081409949e-01 9.4306437671584942e-01 1.9712328790410969e+00 -1.2226260315831459e+00 7.8450157308246823e-02
2850      2.0476892519566978e+00 3.5602648742149523e-01 9.4303175073227641e-01 1.9713052945270153e+00 -1.2226742807240891e+00 7.8454344529020906e-02
